num_leaves	learning_rate	feature_fraction	bagging_fraction	max_depth	min_data_in_leaf	nrounds	auc
50	0.076	0.1	0.8	10	1	100	0.7810450697977878
100	0.076	0.1	0.8	10	1	100	0.7748578077480011
300	0.076	0.1	0.8	10	1	100	0.7548644639864864
50	0.081	0.1	0.8	10	1	100	0.7804693093334953
100	0.081	0.1	0.8	10	1	100	0.7734047279057661
300	0.081	0.1	0.8	10	1	100	0.7734047279057661
50	0.08600000000000001	0.1	0.8	10	1	100	0.7783116011330022
100	0.08600000000000001	0.1	0.8	10	1	100	0.7715585157706842
300	0.08600000000000001	0.1	0.8	10	1	100	0.7584585887116126
50	0.091	0.1	0.8	10	1	100	0.7739389168808724
100	0.091	0.1	0.8	10	1	100	0.7751304336314867
300	0.091	0.1	0.8	10	1	100	0.7540183728787324
50	0.096	0.1	0.8	10	1	100	0.7733468526461852
100	0.096	0.1	0.8	10	1	100	0.7748630232152603
300	0.096	0.1	0.8	10	1	100	0.7524256647949793
50	0.001	0.5	0.8	10	1	100	0.7742190804764233
100	0.001	0.5	0.8	10	1	100	0.7683916079369563
300	0.001	0.5	0.8	10	1	100	0.7327547945204675
50	0.006	0.5	0.8	10	1	100	0.7758401455067667
100	0.006	0.5	0.8	10	1	100	0.7763812945734798
300	0.006	0.5	0.8	10	1	100	0.7420292232036527
50	0.011	0.5	0.8	10	1	100	0.7774916239011658
100	0.011	0.5	0.8	10	1	100	0.7751014281615083
300	0.011	0.5	0.8	10	1	100	0.7382507096524422
50	0.016	0.5	0.8	10	1	100	0.7761388204986271
100	0.016	0.5	0.8	10	1	100	0.7758654962177656
300	0.016	0.5	0.8	10	1	100	0.7385797498121661
50	0.021	0.5	0.8	10	1	100	0.7791058076838369
100	0.021	0.5	0.8	10	1	100	0.7784149310314914
300	0.021	0.5	0.8	10	1	100	0.7418628131877134
50	0.026000000000000002	0.5	0.8	10	1	100	0.7823573766864154
100	0.026000000000000002	0.5	0.8	10	1	100	0.768668926396625
300	0.026000000000000002	0.5	0.8	10	1	100	0.7483986304353996
50	0.031	0.5	0.8	10	1	100	0.7741813553229487
100	0.031	0.5	0.8	10	1	100	0.7760583031133546
300	0.031	0.5	0.8	10	1	100	0.7432441633516405
50	0.036000000000000004	0.5	0.8	10	1	100	0.7771030077646762
100	0.036000000000000004	0.5	0.8	10	1	100	0.7739151067553053
300	0.036000000000000004	0.5	0.8	10	1	100	0.7486538049192354
50	0.041	0.5	0.8	10	1	100	0.7840768597333616
100	0.041	0.5	0.8	10	1	100	0.7711097934908971
300	0.041	0.5	0.8	10	1	100	0.7441638788730158
50	0.046	0.5	0.8	10	1	100	0.7784524119039387
100	0.046	0.5	0.8	10	1	100	0.7682669638826528
300	0.046	0.5	0.8	10	1	100	0.7414923461258625
50	0.051000000000000004	0.5	0.8	10	1	100	0.7771961825760663
100	0.051000000000000004	0.5	0.8	10	1	100	0.7730476521936205
300	0.051000000000000004	0.5	0.8	10	1	100	0.7486465095096623
50	0.056	0.5	0.8	10	1	100	0.7768710017324316
100	0.056	0.5	0.8	10	1	100	0.7633330052449131
300	0.056	0.5	0.8	10	1	100	0.7430031033912761
50	0.061	0.5	0.8	10	1	100	0.7814289005999837
100	0.061	0.5	0.8	10	1	100	0.774098881919974
300	0.061	0.5	0.8	10	1	100	0.7421726641630869
50	0.066	0.5	0.8	10	1	100	0.7786218360578158
100	0.066	0.5	0.8	10	1	100	0.7713280636444205
300	0.066	0.5	0.8	10	1	100	0.7464646690128168
50	0.07100000000000001	0.5	0.8	10	1	100	0.7778413401797706
100	0.07100000000000001	0.5	0.8	10	1	100	0.7730304628375568
300	0.07100000000000001	0.5	0.8	10	1	100	0.74131083096383
50	0.076	0.5	0.8	10	1	100	0.7789200820999598
100	0.076	0.5	0.8	10	1	100	0.7707773667454368
300	0.076	0.5	0.8	10	1	100	0.7432822730084256
50	0.081	0.5	0.8	10	1	100	0.7771323957933417
100	0.081	0.5	0.8	10	1	100	0.7659710645239206
300	0.081	0.5	0.8	10	1	100	0.7453609933629027
50	0.08600000000000001	0.5	0.8	10	1	100	0.7732311993476891
100	0.08600000000000001	0.5	0.8	10	1	100	0.7638557998907618
300	0.08600000000000001	0.5	0.8	10	1	100	0.7506944886964237
50	0.091	0.5	0.8	10	1	100	0.7825856821450848
100	0.091	0.5	0.8	10	1	100	0.7716317178185481
300	0.091	0.5	0.8	10	1	100	0.7419905700834636
50	0.096	0.5	0.8	10	1	100	0.7791326514713007
100	0.096	0.5	0.8	10	1	100	0.7737522036607625
300	0.096	0.5	0.8	10	1	100	0.7428401348517012
50	0.001	0.6	0.8	10	1	100	0.7681802785211121
100	0.001	0.6	0.8	10	1	100	0.755011527848932
300	0.001	0.6	0.8	10	1	100	0.731947387400242
50	0.006	0.6	0.8	10	1	100	0.7805698138808155
100	0.006	0.6	0.8	10	1	100	0.7668219243300523
300	0.006	0.6	0.8	10	1	100	0.7274618534818831
50	0.011	0.6	0.8	10	1	100	0.7784829796115801
100	0.011	0.6	0.8	10	1	100	0.7698514589313281
300	0.011	0.6	0.8	10	1	100	0.7542976779040526
50	0.016	0.6	0.8	10	1	100	0.7820594755663225
100	0.016	0.6	0.8	10	1	100	0.7760103290165308
300	0.016	0.6	0.8	10	1	100	0.7463982113262401
50	0.021	0.6	0.8	10	1	100	0.7800246346702965
100	0.021	0.6	0.8	10	1	100	0.7680216263970617
300	0.021	0.6	0.8	10	1	100	0.7322941928300076
50	0.026000000000000002	0.6	0.8	10	1	100	0.7799313698491231
100	0.026000000000000002	0.6	0.8	10	1	100	0.7704418903786475
300	0.026000000000000002	0.6	0.8	10	1	100	0.7438017330380877
50	0.031	0.6	0.8	10	1	100	0.7793870954755138
100	0.031	0.6	0.8	10	1	100	0.7753657447908032
300	0.031	0.6	0.8	10	1	100	0.7349973755150147
50	0.036000000000000004	0.6	0.8	10	1	100	0.7789373792818216
100	0.036000000000000004	0.6	0.8	10	1	100	0.7703222254148492
300	0.036000000000000004	0.6	0.8	10	1	100	0.7421017217495309
50	0.041	0.6	0.8	10	1	100	0.7804956365702007
100	0.041	0.6	0.8	10	1	100	0.7700637101493989
300	0.041	0.6	0.8	10	1	100	0.7442402936077536
50	0.046	0.6	0.8	10	1	100	0.779824335052257
100	0.046	0.6	0.8	10	1	100	0.7665242414951753
300	0.046	0.6	0.8	10	1	100	0.745062433855111
50	0.051000000000000004	0.6	0.8	10	1	100	0.7789108255863291
100	0.051000000000000004	0.6	0.8	10	1	100	0.7666914820656651
300	0.051000000000000004	0.6	0.8	10	1	100	0.7452644112548754
50	0.056	0.6	0.8	10	1	100	0.7804303904597761
100	0.056	0.6	0.8	10	1	100	0.7684231713148841
300	0.056	0.6	0.8	10	1	100	0.7469486632921855
50	0.061	0.6	0.8	10	1	100	0.7807989963010331
100	0.061	0.6	0.8	10	1	100	0.7721354004672905
300	0.061	0.6	0.8	10	1	100	0.7486923461091681
50	0.066	0.6	0.8	10	1	100	0.7788314949492133
100	0.066	0.6	0.8	10	1	100	0.7667786140647753
300	0.066	0.6	0.8	10	1	100	0.7502860172901046
50	0.07100000000000001	0.6	0.8	10	1	100	0.7817927204977602
100	0.07100000000000001	0.6	0.8	10	1	100	0.772207095353856
300	0.07100000000000001	0.6	0.8	10	1	100	0.7479254985213849
50	0.076	0.6	0.8	10	1	100	0.7781649395394102
100	0.076	0.6	0.8	10	1	100	0.7687913046957231
300	0.076	0.6	0.8	10	1	100	0.7385679753775641
50	0.081	0.6	0.8	10	1	100	0.7771246799233622
100	0.081	0.6	0.8	10	1	100	0.770471837686692
300	0.081	0.6	0.8	10	1	100	0.7401633191752227
50	0.08600000000000001	0.6	0.8	10	1	100	0.7804987830033021
100	0.08600000000000001	0.6	0.8	10	1	100	0.7649083948057551
300	0.08600000000000001	0.6	0.8	10	1	100	0.7482794525976413
50	0.091	0.6	0.8	10	1	100	0.7757084200264489
100	0.091	0.6	0.8	10	1	100	0.7781386879538303
300	0.091	0.6	0.8	10	1	100	0.7506002305461016
50	0.096	0.6	0.8	10	1	100	0.7779714365228552
100	0.096	0.6	0.8	10	1	100	0.7703877307555038
300	0.096	0.6	0.8	10	1	100	0.7455817256923573
50	0.001	0.1	0.8	50	1	100	0.7788841979034158
