tipo_persona	n_deudas_actual	proxy_edad_actual	deuda_total_actual	deuda_con_garantia_actual	situacion_mes_actual	prop_con_garantia_actual	tiene_garantia_actual	mora_30_dias_mes_actual	n_meses_seg_bcra	media_deuda_total	media_deuda_situacion_1	media_deuda_situacion_2	media_deuda_con_garantia	media_deuda_sin_garantia	media_deuda_en_default	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica
20	1	111	5	0	1	0	0	0	6	7.666666666666667	7.666666666666667	0	0	7.666666666666667	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	107	4	0	1	0	0	0	6	3.6666666666666665	3.6666666666666665	0	0	3.6666666666666665	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	316	11	0	1	0	0	0	7	10.285714285714286	10.142857142857142	0.14285714285714285	0	10.285714285714286	0	2	2	0.9931972789115646	0.006802721088435374	0	0	0	0.14285714285714285	0	0	0	0
20	2	331	40	0	1	0	0	0	7	33.142857142857146	33.142857142857146	0	0	33.142857142857146	0	1	1	1	0	0	0	0	0	0	0	0	0
Global	1	214	9	0	1	0	0	0	7	8.857142857142858	8.857142857142858	0	0	8.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	380	13	0	1	0	0	0	6	7.666666666666667	7.666666666666667	0	0	7.666666666666667	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	289	61	0	1	0	0	0	7	67	67	0	0	67	0	1	1	1	0	0	0	0	0	0	0	0	0
20	3	178	13	0	1	0	0	0	7	22.142857142857142	22.142857142857142	0	0	22.142857142857142	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	390	38	0	1	0	0	0	4	21	21	0	0	21	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	353	3	0	1	0	0	0	7	2.857142857142857	2.857142857142857	0	0	2.857142857142857	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	178	5	0	1	0	0	0	7	7.857142857142857	7.857142857142857	0	0	7.857142857142857	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	58	2	0	1	0	0	0	7	3.7142857142857144	3.7142857142857144	0	0	3.7142857142857144	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	178	21	0	1	0	0	0	7	23	23	0	0	23	0	1	1	1	0	0	0	0	0	0	0	0	0
Global	1	218	4	0	1	0	0	0	1	4	4	0	0	4	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	184	2	0	1	0	0	0	6	4.333333333333333	4.333333333333333	0	0	4.333333333333333	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	217	20	0	1	0	0	0	7	19.714285714285715	19.714285714285715	0	0	19.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
