tipo_persona	proxy_edad_actual	prop_con_garantia_actual	n_meses_seg_bcra	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica	proxy_edad_actual_sqrt	prop_con_garantia_actual_sqrt	n_meses_seg_bcra_sqrt	media_prop_situacion_1_sqrt	media_prop_situacion_2_sqrt	media_prop_default_sqrt	media_prop_con_garantia_sqrt	prop_tuvo_garantia_sqrt	prop_mora_30_dias_seg_sqrt	prop_default_seg_sqrt	proxy_edad_actual_pot	prop_con_garantia_actual_pot	n_meses_seg_bcra_pot	media_prop_situacion_1_pot	media_prop_situacion_2_pot	media_prop_default_pot	media_prop_con_garantia_pot	prop_tuvo_garantia_pot	prop_mora_30_dias_seg_pot	prop_default_seg_pot
27	140	0	7	2	2	0.9452380952380952	0.05476190476190477	0	0	0	0.14285714285714285	0	0	0	0	11.832159566199232	0	2.6457513110645907	0.9722335600245937	0.2340126166724879	0	0	0	0.3779644730092272	0	19600	0	49	0.8934750566893424	0.002998866213151928	0	0	0	0.02040816326530612	0
20	128	0	6	1	1	1	0	0	0	0	0	0	0	0	0	11.313708498984761	0	2.449489742783178	1	0	0	0	0	0	0	16384	0	36	1	0	0	0	0	0	0
27	331	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.193405398660254	0	2.6457513110645907	1	0	0	0	0	0	0	109561	0	49	1	0	0	0	0	0	0
27	262	0	7	1	1	1	0	0	0	0	0	0	0	0	0	16.186414056238647	0	2.6457513110645907	1	0	0	0	0	0	0	68644	0	49	1	0	0	0	0	0	0
20	283	0	5	1	1	1	0	0	0	0	0	0	0	0	0	16.822603841260722	0	2.23606797749979	1	0	0	0	0	0	0	80089	0	25	1	0	0	0	0	0	0
20	274	0	6	1	1	1	0	0	0	0	0	0	0	0	0	16.55294535724685	0	2.449489742783178	1	0	0	0	0	0	0	75076	0	36	1	0	0	0	0	0	0
27	264	0	6	1	1	1	0	0	0	0	0	0	0	0	0	16.24807680927192	0	2.449489742783178	1	0	0	0	0	0	0	69696	0	36	1	0	0	0	0	0	0
Global	351	0	2	1	1	1	0	0	0	0	0	0	0	0	0	18.734993995195193	0	1.4142135623730951	1	0	0	0	0	0	0	123201	0	4	1	0	0	0	0	0	0
20	235	0	7	2	2	0.9909297052154196	0.00907029478458049	0	0	0	0.14285714285714285	0	0	0	0	15.329709716755891	0	2.6457513110645907	0.995454521922232	0.09523809523809519	0	0	0	0.3779644730092272	0	55225	0	49	0.9819416806783183	8.227024747918805e-5	0	0	0	0.02040816326530612	0
20	338	0	7	2	2	0.832034632034632	0.16796536796536796	0	0	0	0.2857142857142857	0	0	0	0	18.384776310850235	0	2.6457513110645907	0.9121593238215745	0.40983578170453583	0	0	0	0.5345224838248488	0	114244	0	49	0.6922816289050054	0.028212364835741455	0	0	0	0.08163265306122448	0
27	307	0	7	1	1	1	0	0	0	0	0	0	1	0	0	17.52141546793523	0	2.6457513110645907	1	0	0	0	0	0	0	94249	0	49	1	0	0	0	0	0	0
20	220	0	7	1	1	1	0	0	0	0	0	0	0	0	0	14.832396974191326	0	2.6457513110645907	1	0	0	0	0	0	0	48400	0	49	1	0	0	0	0	0	0
